Obs,Segment,Stream Type,Bedform,Ph2SedReg,Class,ElevDS,L,DA,W_Ph2,D84,S,VC,VC_rat,ER,WtoD,IR,d50,d84_d16,nBars,nFCs,pArmor,SSP,SSP_bal
138,26_M12A,C3,Riffle Pool,FSTCD,4,102.1030174,292.2889363,184.5596373,25.20572996,110.7193094,0.3,13.54292624,1.53808948,13.54292679,31.80769157,1.515151501,64.87875022,87.00731196,6.842544317,0,0.342627737,54.24101514,0.750118239
139,26_M12B,C4,Riffle Pool,FSTCD,4,103.0173728,1550.441938,184.5134622,48.46083511,193.1372294,0.4,8.805031447,0.39706499,3.773584843,108.9041061,1.679999948,89.99999998,171.1372295,5.80479654,5.159819147,0.027858266,72.3099537,0.670635406
140,26_M12C,C4,Riffle Pool,FSTCD,4,109.7226455,514.4772935,182.7832572,28.86315148,146.701645,0.6,22.17529039,0.854868558,29.25026512,37.87999725,1.692307591,63.99999998,121.1444257,5.831161137,3.887440758,0.049452014,107.8230483,0.729260166
143,26_M15-,C3,Riffle Pool,FSTCD,4,149.9542822,2645.839683,179.1979017,29.62511429,220.1316467,1.140421629,5.606995885,1.241013192,3.70370388,40.49999619,1.657142878,110.0658233,182.1843148,5.291325884,3.023614791,0.132229006,202.3977129,0.739577873
144,26_M16A,D3,Braided,DEP,6,180.1280098,223.1027126,128.6497681,22.26147161,705.028839,1.9,4.518079196,2.387631083,99,99,1,151.7893276,695.1366641,22.41120219,0,0,273.6665337,0.463670405
145,26_M16B,A3,Step Pool,TR,1,184.3950015,1431.575739,128.5371417,20.93873819,2936.740348,4.1,1.892285298,0.316965712,1.193595409,26.42307663,1,234.4218561,2740.862783,4.191185863,0,0.214878646,590.2178156,3.028773073
146,26_T3.01-,C4,Riffle Pool,UST,3,180.1280098,1355.989028,46.31099065,13.80676623,224.8451544,0.382108331,8.609271523,0.933627667,7.947020054,23.84210587,1.71875,59.72915274,177.6162308,10.32456732,5.899752753,0.074447067,28.91398069,0.67138778
147,26_T3.02-,C4,Riffle Pool,UST,3,185.3093569,1129.533679,43.31415306,14.87351417,180,0.593631923,9.221311475,1.966444672,10.24590206,30.5,1.69230783,52.42016857,178.3375242,15.93577982,6.197247706,0.159353751,43.06599187,0.415672359
148,26_T3.03A,C3,Plane Bed,UST,3,192.0146297,171.5940262,29.99824535,12.07863456,382.3678963,1.8,4.68933177,0.430652918,1.758499384,38.77272797,1.524590254,196.1469872,336.729412,11.65541741,0,0.024253996,103.6056185,0.782834739
149,26_T3.03B,F3b,Plane Bed,FSTCD,4,195.062481,402.9259372,29.98449734,13.71533069,393.1484073,2.3,10.88888889,5.791962176,1.333333373,25,2.724137783,63.99999999,386.8262196,4.963691377,2.481845688,0.210726172,132.3467309,0.639687311
152,118_M19A,C4,Riffle Pool,FSTCD,4,162.1456873,1293.203292,301.7894188,39.25632429,99.47580717,0.18854584,7.531055901,0.953298215,3.105590105,42.09150696,1.690476298,47.11560706,99.14305961,2.319820881,3.093094509,0.037236625,46.46980994,0.326973061
153,118_M19B,F3,Riffle Pool,UST,3,164.5839683,1052.727827,299.8075817,36.66565072,133.1937763,0.579038796,7.896924356,1.025574592,1.122194529,48.12000275,2.147058725,67.53956653,132.7684427,1.899826288,0,0,142.1212188,1.228758324
154,118_M26-,F4,Plane Bed,UST,3,225.5409936,553.1850046,259.78117,37.18378543,157.0534536,0.550964177,4.672131148,0.697333007,1.270491838,42.65734482,2.34375,60.76937352,156.1417311,0,0,0.049980716,123.5567902,1.225813033
